TEXT,TYPE
Your death will honestly not bring much merit!,ins_gen RESPONSE
Be patient! I will get to you in due time as I sweep the realm clean of traitors.,ins_gen RESPONSE
"Quiet now, unwholesome scoundrel.",ins_gen RESPONSE
Are you compensating for your lack of ability? I shall give you a sound lashing.,ins_gen RESPONSE
"Hah! The old 'stomp the grass, scare the snake' stratagem, is well known to me…",ins_gen RESPONSE
There is nothing left for you but total defeat!,ins_gen RESPONSE
"Be silent, and embrace your end instead of uttering such foul words.",ins_gen RESPONSE
Your words are as pathetic as you are!,ins_gen RESPONSE
Do not waste your breath – you will need it!,ins_gen RESPONSE
Shut up and die!,ins_gen RESPONSE
I will crush you for this insult!,ins_gen RESPONSE
You dare to speak to me!,ins_gen RESPONSE
You belittle yourself with your words!,ins_gen RESPONSE
Talk all you want – you are still going to die!,ins_gen RESPONSE
I was going to let you live until now…,ins_gen RESPONSE
Silence! ,ins_gen RESPONSE
You are truly a pathetic creature.,ins_gen RESPONSE
"You are all show, and no skill!",ins_gen RESPONSE
You shall fall by my hand!,ins_gen RESPONSE
Stop wasting my time!,ins_gen RESPONSE
Enough! The next bout with me will be your last!,ins_gen RESPONSE
You bore me! Show me your true strength!,ins_gen RESPONSE
Do you intend to bore me to death? Lets fight!,ins_gen RESPONSE
Do you ever stop talking!?,ins_gen RESPONSE
Your bravado outmatches your skill!,ins_gen RESPONSE
Stand aside and witness how a true warrior fights!,ins_gen RESPONSE
They you are a general that prefers patience. I will give you no choice!,ins_gen RESPONSE
"Talk, talk, talk! ",ins_gen RESPONSE
"I will kill you, if only to shut you up!",ins_gen RESPONSE
You lack honour!,ins_gen RESPONSE
Your words are spineless and so are you!,ins_gen RESPONSE
You blabber as a substitute for true strength! Pathetic!,ins_gen RESPONSE
"You continue to talk, yet I hear nothing but empty noise.",ins_gen RESPONSE
One last push! That is all that is needed to crush you!,ins_gen RESPONSE
One must go to directly at the enemy for a swift victory.,ins_gen RESPONSE
Who do you think you are!?,ins_gen RESPONSE
This simply will not do.,ins_gen RESPONSE
The worst part about this is you really tried.,ins_gen RESPONSE
That was supposed to scare me?,ins_gen RESPONSE
That was your best? You are no challenge whatsoever!,ins_gen RESPONSE
A pitiful attempt from a pitiful warrior!,ins_gen RESPONSE
"If you fight as well as you talk, you'll soon be dead.",ins_gen RESPONSE
I will enjoy watching you fall!,ins_gen RESPONSE
"Oh, you talk as well? Fascinating.",ins_gen RESPONSE
"Fight, you fool! Stop talking!",ins_gen RESPONSE
Sorry; I mistook your whining for one of my women!,ins_gen RESPONSE
Oh no…this could undo my plan…,ins_gen RESPONSE
"You are lacking in talent, in every way!",ins_gen RESPONSE
"I do not fear your words, or your blade!",ins_gen RESPONSE
Proud boasts from a fearful heart!,ins_gen RESPONSE
Prepare to taste my blade!,ins_gen RESPONSE
…perhaps I should reconsider my approach…,ins_gen RESPONSE
Have you eaten lately? You look gaunt.,ins_gen RESPONSE
I question your sanity!,ins_gen RESPONSE
…will I need to adjust my approach? No…I think not…,ins_gen RESPONSE
Enough expository nonsense!,ins_gen RESPONSE
Must I cut out your tongue before killing you!?,ins_gen RESPONSE
On and on and on – enough!,ins_gen RESPONSE
Don't you have a battle to lose!?,ins_gen RESPONSE
Be silent and face my blade!,ins_gen RESPONSE
I will not rise to petulant insults!,ins_gen RESPONSE
Your threats will not avail you!,ins_gen RESPONSE
"Such empty, empty words!",ins_gen RESPONSE
You still have ample fight left in you I see!,ins_gen RESPONSE
Bah! The scholars will write of my deeds for years! What will they say of you?,ins_gen RESPONSE
"On my life, I will silence you!",ins_gen RESPONSE
"I must kill you, if only to shut you up!",ins_gen RESPONSE
"Once you are dead, the silence will be bliss!",ins_gen RESPONSE
Your foolish charade ends here!,ins_gen RESPONSE
Your destiny is to die today before my fury!,ins_gen RESPONSE
"Your death is a mere trifle for me, requiring no effort.",ins_gen RESPONSE
Be patient! I will get to you in due time.,ins_gen RESPONSE
Why don't you present your neck so that I may cleave your head free!,ins_gen RESPONSE
Clearly you must be compensating for your lack of martial ability.,ins_gen RESPONSE
"In every corner of the land, they beg you to be silent!",ins_gen RESPONSE
There is nothing left for you but death!,ins_gen RESPONSE
"Be silent, and embrace your end.",ins_gen RESPONSE
Hah! Those who are inferior in their heart always crave achievements.,ins_gen RESPONSE
Silence! I did not solicit your opinion!,ins_gen RESPONSE
A pity you believe yourself my equal!,ins_gen RESPONSE
Bah! I will never curb my ambitions!,ins_gen RESPONSE
You dare challenge me? You are unequal to such a task.,ins_gen RESPONSE
You belittle yourself with your words!,ins_gen RESPONSE
We all will fulfil our destinies this day…,ins_gen RESPONSE
"I am fully prepared today, and my men are well drilled!",ins_gen RESPONSE
Silence! You incontinent whelp!,ins_gen RESPONSE
Hmm… what is this unrest I feel in my heart…,ins_gen RESPONSE
What exceedingly insignificant efforts…,ins_gen RESPONSE
I have taken precautions against all your efforts!,ins_gen RESPONSE
Hah! You will learn to kowtow to your superiors!,ins_gen RESPONSE
Enough!,ins_gen RESPONSE
"I respect you, you fight well!",ins_gen RESPONSE
So what? I draw my support from the will of heaven!,ins_gen RESPONSE
On and on - like trying to chase a tiger across a stream…,ins_gen RESPONSE
Your bravado outmatches your skill!,ins_gen RESPONSE
Pathetic!,ins_gen RESPONSE
"Clearly, you are resentful of those with true talent.",ins_gen RESPONSE
"Talk, talk, talk! ",ins_gen RESPONSE
"Your temperament is know to me, I shall use it against you!",ins_gen RESPONSE
Ahhh…my worries are thus removed.,ins_gen RESPONSE
Your plans are nothing before mine.,ins_gen RESPONSE
…that won't work on me!,ins_gen RESPONSE
You continue to demonstrate ignorance of the vicissitudes of warfare!,ins_gen RESPONSE
Cease trying to demoralize with your baseless drivel!,ins_gen RESPONSE
"Please, stop you're humiliating yourself.",ins_gen RESPONSE
Who do you think you are!?,ins_gen RESPONSE
This simply will not do.,ins_gen RESPONSE
"Try whatever you must, shard-brained weakling!",ins_gen RESPONSE
Hmm…the omens bode ill for this…,ins_gen RESPONSE
…you continue with your vapid discourses…,ins_gen RESPONSE
I honestly expected you would feign illness to avoid battle today…,ins_gen RESPONSE
"If you fight as well as you talk, you'll soon be dead.",ins_gen RESPONSE
I will enjoy watching you fall!,ins_gen RESPONSE
…and thus demonstrating you have no long term strategy!,ins_gen RESPONSE
"Fight, I will not be frightened by crafty threats!",ins_gen RESPONSE
You fight as well as a mound of dumb earth.,ins_gen RESPONSE
Hah! You leap from the wolf's den to the tiger's mouth!,ins_gen RESPONSE
"You are dull, in every way!",ins_gen RESPONSE
"I do not fear your words, or your blade!",ins_gen RESPONSE
Hmm... Does this bode well or ill?,ins_gen RESPONSE
I suggest you review the tomes on battle…,ins_gen RESPONSE
You have abused the bounty of the Han for too long!,ins_gen RESPONSE
Have you eaten lately? You look gaunt.,ins_gen RESPONSE
I question your sanity!,ins_gen RESPONSE
There is nothing to be gained from this banter!,ins_gen RESPONSE
Enough expository nonsense!,ins_gen RESPONSE
What does this one know of war? Bah. What a fool!,ins_gen RESPONSE
On and on and on – enough!,ins_gen RESPONSE
Don't you have a battle to lose!?,ins_gen RESPONSE
Be silent and face my blade!,ins_gen RESPONSE
I will not rise to petulant insults!,ins_gen RESPONSE
Your threats will not avail you!,ins_gen RESPONSE
"Such empty, empty words!",ins_gen RESPONSE
…ahh why must you press me so?,ins_gen RESPONSE
Such talk is unbecoming!,ins_gen RESPONSE
"On my life, I will silence you!",ins_gen RESPONSE
"I must kill you, if only to shut you up!",ins_gen RESPONSE
"Once you are dead, the silence will be bliss!",ins_gen RESPONSE
Your foolish charade ends here!,ins_gen RESPONSE
But my forces have the advantage of strict discipline!,ins_gen RESPONSE
Your death will honestly be the highlight of my day.,ins_gen RESPONSE
Be patient! I will get to you in due time.,ins_gen RESPONSE
With your death I shall restore peace to the realm!,ins_gen RESPONSE
Are you compensating for your lack of ability?,ins_gen RESPONSE
"In every corner of the land, they beg you to be silent!",ins_gen RESPONSE
There is nothing left for you but death!,ins_gen RESPONSE
"Be silent, and embrace your end.",ins_gen RESPONSE
